,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot Cases Per Million,Deaths per Million,Total Tests,Tests per Million,Population
21,Chile,1101698.0,0.0,24766.0,0.0,1033189.0,0.0,43743.0,3257.0,57245.0,1287.0,630212.0,19245367.0
22,Canada,1096716.0,0.0,23500.0,0.0,990074.0,0.0,83142.0,1089.0,28859.0,618.0,776184.0,38002618.0
23,Romania,1020301.0,0.0,25800.0,0.0,925395.0,0.0,69106.0,1518.0,53318.0,1348.0,408181.0,19136146.0
24,Iraq,956860.0,0.0,14885.0,0.0,837336.0,0.0,104639.0,501.0,23379.0,364.0,212332.0,40928986.0
25,Belgium,939309.0,3993.0,23636.0,33.0,789423.0,3128.0,126250.0,941.0,80770.0,2032.0,1020174.0,11629388.0
26,Philippines,904285.0,0.0,15594.0,0.0,705164.0,0.0,183527.0,750.0,8167.0,141.0,99144.0,110727033.0
27,Sweden,892480.0,0.0,13761.0,0.0,718242.0,0.0,160477.0,391.0,87939.0,1356.0,773192.0,10148878.0
28,Israel,836706.0,0.0,6314.0,0.0,827447.0,0.0,2945.0,209.0,90970.0,686.0,1512890.0,9197590.0
29,Portugal,829358.0,0.0,16933.0,0.0,787011.0,0.0,25414.0,109.0,81524.0,1664.0,948153.0,10173212.0
30,Pakistan,745182.0,5364.0,15982.0,110.0,650775.0,4123.0,78425.0,4302.0,3323.0,71.0,49084.0,224253902.0
31,Hungary,742198.0,5216.0,24762.0,241.0,445920.0,5422.0,271516.0,1117.0,76984.0,2568.0,525441.0,9640967.0
32,Bangladesh,707362.0,0.0,10081.0,0.0,597214.0,0.0,100067.0,,4262.0,61.0,30820.0,165980237.0
33,Jordan,679138.0,0.0,8057.0,0.0,621870.0,0.0,49211.0,729.0,66046.0,784.0,624957.0,10282825.0
34,Republic of Serbia,654870.0,0.0,5881.0,0.0,575771.0,0.0,73218.0,259.0,75190.0,675.0,418731.0,8709547.0
